Format Version,1.25,Take Name,Take 2026-01-03 06.50.43 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-01-03 06.50.47.145 午後,Capture Start Frame,724866,Total Frames in Take,2292,Total Exported Frames,2292,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
25,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001432,0.344192,-0.001016,0.938898,476.710419,73.110481,563.487793,490.844849,76.305893,545.217285,485.790894,68.755898,585.550171,469.340729,77.217407,542.821045,460.865234,70.162735,580.362671,490.851227,76.314018,545.222107,485.742249,68.753761,585.523254,469.339691,77.206093,542.829712,460.907990,70.168106,580.375427
26,0.260000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001380,0.344222,-0.001003,0.938887,476.710266,73.107826,563.487549,490.843323,76.302444,545.215820,485.792419,68.755783,585.549744,469.339020,77.212440,542.820923,460.866333,70.160645,580.363708,490.847748,76.310860,545.218811,485.743042,68.754066,585.521423,469.341614,77.200783,542.831421,460.907990,70.165627,580.377808
27,0.270000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001379,0.344200,-0.001030,0.938895,476.712189,73.107208,563.486938,490.846313,76.300743,545.215820,485.793091,68.755142,585.549683,469.342133,77.211777,542.819946,460.867310,70.161171,580.362427,490.849243,76.309456,545.221191,485.744659,68.752472,585.522888,469.344116,77.199944,542.827576,460.910278,70.166992,580.375610
28,0.280000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001382,0.344195,-0.000923,0.938897,476.715576,73.112053,563.489685,490.849243,76.309853,545.218994,485.797089,68.760048,585.552246,469.344910,77.216805,542.822876,460.871094,70.161530,580.364746,490.854401,76.320663,545.221375,485.748810,68.756020,585.525696,469.346466,77.202881,542.832825,460.911987,70.168655,580.378357
29,0.290000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001396,0.344207,-0.000943,0.938892,476.714874,73.107407,563.488159,490.848236,76.304764,545.217163,485.796753,68.754677,585.550415,469.343872,77.212776,542.821655,460.870728,70.157417,580.363647,490.851379,76.314926,545.221558,485.749939,68.750954,585.523071,469.346893,77.199501,542.829651,460.910828,70.164238,580.377930
30,0.300000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001436,0.344188,-0.001081,0.938899,476.713226,73.107277,563.488098,490.848236,76.300240,545.217651,485.792999,68.752419,585.550781,469.344269,77.214333,542.821228,460.867554,70.162148,580.362976,490.851105,76.305695,545.224548,485.744720,68.752365,585.523438,469.345245,77.205582,542.829224,460.911407,70.165604,580.374756
31,0.310000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001399,0.344165,-0.000894,0.938908,476.718231,73.111458,563.490173,490.852936,76.310783,545.220520,485.798523,68.758705,585.553040,469.348694,77.216949,542.823120,460.872803,70.159409,580.364136,490.858154,76.317879,545.225769,485.748596,68.758163,585.523132,469.349213,77.205978,542.835205,460.916199,70.163902,580.375671
32,0.320000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001451,0.344217,-0.001055,0.938888,476.717743,73.107979,563.490662,490.851501,76.302292,545.219421,485.799011,68.752441,585.552612,469.347321,77.215698,542.824463,460.873230,70.161499,580.366455,490.859192,76.309845,545.223938,485.748566,68.750557,585.526855,469.344421,77.205162,542.832764,460.918457,70.166458,580.378723
33,0.330000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001473,0.344203,-0.001118,0.938894,476.718262,73.106155,563.490662,490.852997,76.298576,545.219910,485.798279,68.749420,585.552856,469.348999,77.214844,542.824219,460.872803,70.161781,580.365906,490.857697,76.307831,545.223938,485.749664,68.746704,585.524658,469.350159,77.201813,542.836121,460.914886,70.168289,580.377319
34,0.340000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001457,0.344209,-0.001052,0.938891,476.719543,73.107178,563.492554,490.853577,76.301773,545.221558,485.800446,68.751358,585.554565,469.349457,77.215157,542.826172,460.874695,70.160416,580.367920,490.857086,76.310226,545.226807,485.748199,68.749336,585.526123,469.350830,77.203133,542.836365,460.921448,70.166069,580.380127
